"","new.date2","precip1"
"1",1982-01-01,"0"
"2",1982-02-01,"0.18"
"3",1982-03-01,"0"
"4",1982-04-01,"1.78"
"5",1982-05-01,"0"
"6",1982-06-01,"0"
"7",1982-07-01,"0"
"8",1982-08-01,"0"
"9",1982-09-01,"0.04"
"10",1982-10-01,"0"
"11",1982-11-01,"0"
"12",1982-12-01,"0"
"13",1983-01-01,"0"
"14",1983-02-01,"1.78"
"15",1983-03-01,"0"
"16",1983-04-01,"0"
"17",1983-05-01,"0.18"
"18",1983-06-01,"0"
"19",1983-07-01,"0"
"20",1983-08-01,"0"
"21",1983-09-01,"0.04"
"22",1983-10-01,"0"
"23",1983-11-01,"0"
"24",1983-12-01,"0"
"25",1984-01-01,"0"
"26",1984-02-01,"0.08"
"27",1984-03-01,"0.8"
"28",1984-04-01,"0"
"29",1984-05-01,"0.38"
"30",1984-06-01,"0.7"
"31",1984-07-01,"0"
"32",1984-08-01,"0"
"33",1984-09-01,"0"
"34",1984-10-01,"0"
"35",1984-11-01,"0"
"36",1984-12-01,"0"
"37",1985-01-01,"0"
"38",1985-02-01,"0"
"39",1985-03-01,"0"
"40",1985-04-01,"0"
"41",1985-05-01,"0"
"42",1985-06-01,"0"
"43",1985-07-01,"0"
"44",1985-08-01,"0.63"
"45",1985-09-01,"1.12"
"46",1985-10-01,"0"
"47",1985-11-01,"0"
"48",1985-12-01,"0"
"49",1986-01-01,"0"
"50",1986-02-01,"0"
"51",1986-03-01,"0"
"52",1986-04-01,"0"
"53",1986-05-01,"0"
"54",1986-06-01,"0.09"
"55",1986-07-01,"0"
"56",1986-08-01,"1.07"
"57",1986-09-01,"0"
"58",1986-10-01,"0"
"59",1986-11-01,"0"
"60",1986-12-01,"0"
"61",1987-01-01,"0"
"62",1987-02-01,"0.91"
"63",1987-03-01,"0"
"64",1987-04-01,"0.49"
"65",1987-05-01,"0.01"
"66",1987-06-01,"0.02"
"67",1987-07-01,"0"
"68",1987-08-01,"0"
"69",1987-09-01,"0.18"
"70",1987-10-01,"0.35"
"71",1987-11-01,"0.11"
"72",1987-12-01,"2.42"
"73",1988-01-01,"0"
"74",1988-02-01,"0"
"75",1988-03-01,"0.12"
"76",1988-04-01,"0"
"77",1988-05-01,"0"
"78",1988-06-01,"0"
"79",1988-07-01,"0.05"
"80",1988-08-01,"0.24"
"81",1988-09-01,"0"
"82",1988-10-01,"0"
"83",1988-11-01,"0"
"84",1988-12-01,"0"
"85",1989-01-01,"0"
"86",1989-02-01,"0"
"87",1989-03-01,"0"
"88",1989-04-01,"0.06"
"89",1989-05-01,"0.05"
"90",1989-06-01,"0"
"91",1989-07-01,"0"
"92",1989-08-01,"0"
"93",1989-09-01,"0"
"94",1989-10-01,"0"
"95",1989-11-01,"0.2"
"96",1989-12-01,"0"
"97",1990-01-01,"1.01"
"98",1990-02-01,"0"
"99",1990-03-01,"0"
"100",1990-04-01,"0.46"
"101",1990-05-01,"0.02"
"102",1990-06-01,"0"
"103",1990-07-01,"0.24"
"104",1990-08-01,"0.25"
"105",1990-09-01,"0"
"106",1990-10-01,"0.05"
"107",1990-11-01,"0"
"108",1990-12-01,"0"
"109",1991-01-01,"0.28"
"110",1991-02-01,"0.46"
"111",1991-03-01,"0"
"112",1991-04-01,"0"
"113",1991-05-01,"0.15"
"114",1991-06-01,"0.06"
"115",1991-07-01,"0"
"116",1991-08-01,"0"
"117",1991-09-01,"0.12"
"118",1991-10-01,"0"
"119",1991-11-01,"0.26"
"120",1991-12-01,"0"
"121",1992-01-01,"0"
"122",1992-02-01,"0.32"
"123",1992-03-01,"0"
"124",1992-04-01,"0.1"
"125",1992-05-01,"0"
"126",1992-06-01,"0"
"127",1992-07-01,"0.18"
"128",1992-08-01,"0.15"
"129",1992-09-01,"0"
"130",1992-10-01,"0"
"131",1992-11-01,"0"
"132",1992-12-01,"0"
"133",1993-01-01,"0"
"134",1993-02-01,"0.2"
"135",1993-03-01,"0"
"136",1993-04-01,"1.4"
"137",1993-05-01,"0"
"138",1993-06-01,"1.23"
