"","raw"
"1","Just Got Paid (feat. French Montana)"
"2","Sigala, Ella Eyre & Meghan Trainor"
"3","Like I Do"
"4","David Guetta, Martin Garrix & Brooks"
"5","Better When You're Gone"
"6","David Guetta, Brooks & Loote"
"7","Right Round (feat. Ke$ha)"
"8","Flo Rida"
"9","High Hopes (Don Diablo Remix)"
"10","Panic! At the Disco"
"11","One More Weekend"
"12","Audien & Max"
"13","The Heat (I Wanna Dance with Somebody)"
"14","Ralph Felix & SDJM"
"15","This Summer (Maroon 5 vs. Alesso)"
"16","Maroon 5 & Alesso"
"17","Something Strange (feat. Haley Reinhart)"
"18","Vicetone"
"19","Booty Bounce (Radio Edit)"
"20","Tujamo & Taio Cruz"
"21","I Love It"
"22","Kanye West & Lil Pump"
"23","All Night (feat. Knox Fortune)"
"24","Chance the Rapper"
"25","Best Love Song (feat. Chris Brown)"
"26","T-Pain"
"27","Everyday We Lit (feat. PnB Rock, Lil Yachty & Wiz Khalifa) [Remix]"
"28","YFN Lucci"
"29","Yeah! (feat. Lil Jon & Ludacris)"
"30","Usher"
"31","All Night Longer"
"32","Sammy Adams"
"33","Eenie Meenie"
"34","Sean Kingston & Justin Bieber"
"35","Shots (feat. LMFAO)"
"36","Lil Jon"
"37","Just One Last Time (feat. Taped Rai)"
"38","David Guetta"
"39","Weekend (SNBRN Remix)"
"40","Louis The Child & Icona Pop"
"41","Take Me Home (feat. Bebe Rexha)"
"42","Cash Cash"
"43","Closer (feat. Halsey)"
"44","The Chainsmokers"
"45","In the Name of Love (DallasK Remix)"
"46","Martin Garrix & Bebe Rexha"
"47","Kill the Lights (with Nile Rodgers) [Audien Remix]"
"48","Alex Newell, Jess Glynne & DJ Cassidy"
"49","Where Them Girls At (feat. Nicki Minaj & Flo Rida)"
"50","David Guetta"
"51","Matches"
"52","Cash Cash & ROZES"
"53","Don't You Worry Child (Radio Edit) [feat. John Martin]"
"54","Swedish House Mafia"
"55","A Little Party Never Killed Nobody (All We Got)"
"56","Fergie, Q-Tip & GoonRock"
"57","S&M"
"58","Rihanna"
"59","DJ Got Us Fallin' in Love (feat. Pitbull)"
